prompt_id,seed,run_idx,tokenize_ms,generate_ms,decode_ms,wav_ms,total_ms,frames,vram_mb,generate_cuda_ms,decode_cuda_ms,cpu_dispatch_ms,generate_per_step_ms
short_01,42,0,0.000000,614.680236,0.000000,0.000000,614.680236,10,1880.757,614.868103,0.000000,0.000000,61.468024
short_01,42,1,0.000000,633.128973,0.000000,0.000000,633.128973,10,1880.757,633.273682,0.000000,0.000000,63.312897
short_01,42,2,0.000000,708.836694,0.000000,0.000000,708.836694,10,1880.757,709.390137,0.000000,0.000000,70.883669
short_01,42,3,0.000000,647.699523,0.000000,0.000000,647.699523,10,1880.757,647.836365,0.000000,0.000000,64.769952
short_01,42,4,0.000000,648.491341,0.000000,0.000000,648.491341,10,1880.757,648.867310,0.000000,0.000000,64.849134
short_01,42,5,0.000000,643.080294,0.000000,0.000000,643.080294,10,1880.757,642.792419,0.000000,0.287875,64.308029
short_01,42,6,0.000000,628.028419,0.000000,0.000000,628.028419,10,1880.757,628.067627,0.000000,0.000000,62.802842
short_01,42,7,0.000000,662.941111,0.000000,0.000000,662.941111,10,1880.757,663.017029,0.000000,0.000000,66.294111
short_01,42,8,0.000000,622.969544,0.000000,0.000000,622.969544,10,1880.757,623.041992,0.000000,0.000000,62.296954
short_01,42,9,0.000000,625.017353,0.000000,0.000000,625.017353,10,1880.757,625.190369,0.000000,0.000000,62.501735
short_01,42,10,0.000000,639.174229,0.000000,0.000000,639.174229,10,1880.757,639.253357,0.000000,0.000000,63.917423
short_01,42,11,0.000000,639.828213,0.000000,0.000000,639.828213,10,1880.757,639.908875,0.000000,0.000000,63.982821
short_01,42,12,0.000000,657.527259,0.000000,0.000000,657.527259,10,1880.757,657.685364,0.000000,0.000000,65.752726
short_01,42,13,0.000000,614.661360,0.000000,0.000000,614.661360,10,1880.757,614.730713,0.000000,0.000000,61.466136
short_01,42,14,0.000000,675.636037,0.000000,0.000000,675.636037,10,1880.757,675.700562,0.000000,0.000000,67.563604
short_01,42,15,0.000000,602.595793,0.000000,0.000000,602.595793,10,1880.757,602.130737,0.000000,0.465056,60.259579
short_01,42,16,0.000000,655.306080,0.000000,0.000000,655.306080,10,1880.757,655.358582,0.000000,0.000000,65.530608
short_01,42,17,0.000000,663.894496,0.000000,0.000000,663.894496,10,1880.757,663.973572,0.000000,0.000000,66.389450
short_01,42,18,0.000000,649.144984,0.000000,0.000000,649.144984,10,1880.757,649.247192,0.000000,0.000000,64.914498
short_01,42,19,0.000000,716.023839,0.000000,0.000000,716.023839,10,1880.757,716.140198,0.000000,0.000000,71.602384
short_02,42,0,0.000000,627.139788,0.000000,0.000000,627.139788,9,1880.867,627.222839,0.000000,0.000000,69.682199
short_02,42,1,0.000000,647.952226,0.000000,0.000000,647.952226,9,1880.867,648.019287,0.000000,0.000000,71.994692
short_02,42,2,0.000000,616.016237,0.000000,0.000000,616.016237,9,1880.867,616.077942,0.000000,0.000000,68.446249
short_02,42,3,0.000000,591.556787,0.000000,0.000000,591.556787,9,1880.867,591.614014,0.000000,0.000000,65.728532
short_02,42,4,0.000000,612.206039,0.000000,0.000000,612.206039,9,1880.867,612.344727,0.000000,0.000000,68.022893
short_02,42,5,0.000000,630.167589,0.000000,0.000000,630.167589,9,1880.867,630.244934,0.000000,0.000000,70.018621
short_02,42,6,0.000000,655.208452,0.000000,0.000000,655.208452,9,1880.867,655.322998,0.000000,0.000000,72.800939
short_02,42,7,0.000000,630.839863,0.000000,0.000000,630.839863,9,1880.867,630.913818,0.000000,0.000000,70.093318
short_02,42,8,0.000000,622.535349,0.000000,0.000000,622.535349,9,1880.867,623.202271,0.000000,0.000000,69.170594
short_02,42,9,0.000000,623.897494,0.000000,0.000000,623.897494,9,1880.867,623.990479,0.000000,0.000000,69.321944
short_02,42,10,0.000000,620.921205,0.000000,0.000000,620.921205,9,1880.867,620.995850,0.000000,0.000000,68.991245
short_02,42,11,0.000000,597.330926,0.000000,0.000000,597.330926,9,1880.867,597.483032,0.000000,0.000000,66.370103
short_02,42,12,0.000000,698.506742,0.000000,0.000000,698.506742,9,1880.867,698.629822,0.000000,0.000000,77.611860
short_02,42,13,0.000000,646.597047,0.000000,0.000000,646.597047,9,1880.867,646.629883,0.000000,0.000000,71.844116
short_02,42,14,0.000000,659.057042,0.000000,0.000000,659.057042,9,1880.867,659.159180,0.000000,0.000000,73.228560
short_02,42,15,0.000000,656.924917,0.000000,0.000000,656.924917,9,1880.867,656.973572,0.000000,0.000000,72.991657
short_02,42,16,0.000000,654.553160,0.000000,0.000000,654.553160,9,1880.867,654.676697,0.000000,0.000000,72.728129
short_02,42,17,0.000000,629.372961,0.000000,0.000000,629.372961,9,1880.867,629.456421,0.000000,0.000000,69.930329
short_02,42,18,0.000000,615.772756,0.000000,0.000000,615.772756,9,1880.867,615.843018,0.000000,0.000000,68.419195
short_02,42,19,0.000000,604.458260,0.000000,0.000000,604.458260,9,1880.867,604.579834,0.000000,0.000000,67.162029
short_03,42,0,0.000000,628.586814,0.000000,0.000000,628.586814,10,1880.794,627.705383,0.000000,0.881431,62.858681
short_03,42,1,0.000000,624.435635,0.000000,0.000000,624.435635,10,1880.794,624.487976,0.000000,0.000000,62.443563
short_03,42,2,0.000000,645.115574,0.000000,0.000000,645.115574,10,1880.794,645.149841,0.000000,0.000000,64.511557
short_03,42,3,0.000000,650.424207,0.000000,0.000000,650.424207,10,1880.794,650.500488,0.000000,0.000000,65.042421
short_03,42,4,0.000000,631.891179,0.000000,0.000000,631.891179,10,1880.794,631.954590,0.000000,0.000000,63.189118
short_03,42,5,0.000000,607.370239,0.000000,0.000000,607.370239,10,1880.794,607.317078,0.000000,0.053161,60.737024
short_03,42,6,0.000000,628.118669,0.000000,0.000000,628.118669,10,1880.794,628.202820,0.000000,0.000000,62.811867
short_03,42,7,0.000000,621.668731,0.000000,0.000000,621.668731,10,1880.794,621.775146,0.000000,0.000000,62.166873
short_03,42,8,0.000000,638.474757,0.000000,0.000000,638.474757,10,1880.794,639.452209,0.000000,0.000000,63.847476
short_03,42,9,0.000000,641.867586,0.000000,0.000000,641.867586,10,1880.794,641.458008,0.000000,0.409578,64.186759
short_03,42,10,0.000000,616.432643,0.000000,0.000000,616.432643,10,1880.794,616.524231,0.000000,0.000000,61.643264
short_03,42,11,0.000000,668.566515,0.000000,0.000000,668.566515,10,1880.794,668.588379,0.000000,0.000000,66.856651
short_03,42,12,0.000000,635.811729,0.000000,0.000000,635.811729,10,1880.794,635.999817,0.000000,0.000000,63.581173
short_03,42,13,0.000000,626.632569,0.000000,0.000000,626.632569,10,1880.794,626.709351,0.000000,0.000000,62.663257
short_03,42,14,0.000000,669.709709,0.000000,0.000000,669.709709,10,1880.794,669.673157,0.000000,0.036552,66.970971
short_03,42,15,0.000000,639.787987,0.000000,0.000000,639.787987,10,1880.794,639.894348,0.000000,0.000000,63.978799
short_03,42,16,0.000000,659.465519,0.000000,0.000000,659.465519,10,1880.794,659.571960,0.000000,0.000000,65.946552
short_03,42,17,0.000000,650.492434,0.000000,0.000000,650.492434,10,1880.794,650.587463,0.000000,0.000000,65.049243
short_03,42,18,0.000000,604.047851,0.000000,0.000000,604.047851,10,1880.794,604.186279,0.000000,0.000000,60.404785
short_03,42,19,0.000000,630.479237,0.000000,0.000000,630.479237,10,1880.794,630.613831,0.000000,0.000000,63.047924
medium_01,42,0,0.000000,744.545503,0.000000,0.000000,744.545503,15,1882.369,744.629883,0.000000,0.000000,49.636367
medium_01,42,1,0.000000,747.208712,0.000000,0.000000,747.208712,15,1882.369,747.294678,0.000000,0.000000,49.813914
medium_01,42,2,0.000000,809.874324,0.000000,0.000000,809.874324,15,1882.369,810.005127,0.000000,0.000000,53.991622
medium_01,42,3,0.000000,725.872315,0.000000,0.000000,725.872315,15,1882.369,726.696228,0.000000,0.000000,48.391488
medium_01,42,4,0.000000,726.471342,0.000000,0.000000,726.471342,15,1882.369,726.144592,0.000000,0.326750,48.431423
medium_01,42,5,0.000000,747.164158,0.000000,0.000000,747.164158,15,1882.369,747.240723,0.000000,0.000000,49.810944
medium_01,42,6,0.000000,732.229798,0.000000,0.000000,732.229798,15,1882.369,732.360413,0.000000,0.000000,48.815320
medium_01,42,7,0.000000,804.765720,0.000000,0.000000,804.765720,15,1882.369,804.871887,0.000000,0.000000,53.651048
medium_01,42,8,0.000000,843.636410,0.000000,0.000000,843.636410,15,1882.369,843.739014,0.000000,0.000000,56.242427
medium_01,42,9,0.000000,847.392376,0.000000,0.000000,847.392376,15,1882.369,847.420166,0.000000,0.000000,56.492825
medium_01,42,10,0.000000,828.152899,0.000000,0.000000,828.152899,15,1882.369,828.203918,0.000000,0.000000,55.210193
medium_01,42,11,0.000000,749.511555,0.000000,0.000000,749.511555,15,1882.369,749.593750,0.000000,0.000000,49.967437
medium_01,42,12,0.000000,734.047274,0.000000,0.000000,734.047274,15,1882.369,734.093201,0.000000,0.000000,48.936485
medium_01,42,13,0.000000,750.148092,0.000000,0.000000,750.148092,15,1882.369,750.227112,0.000000,0.000000,50.009873
medium_01,42,14,0.000000,691.426673,0.000000,0.000000,691.426673,15,1882.369,691.502014,0.000000,0.000000,46.095112
medium_01,42,15,0.000000,767.098344,0.000000,0.000000,767.098344,15,1882.369,767.245972,0.000000,0.000000,51.139890
medium_01,42,16,0.000000,753.321781,0.000000,0.000000,753.321781,15,1882.369,753.824829,0.000000,0.000000,50.221452
medium_01,42,17,0.000000,708.225496,0.000000,0.000000,708.225496,15,1882.369,708.254089,0.000000,0.000000,47.215033
medium_01,42,18,0.000000,692.700283,0.000000,0.000000,692.700283,15,1882.369,692.766174,0.000000,0.000000,46.180019
medium_01,42,19,0.000000,744.961610,0.000000,0.000000,744.961610,15,1882.369,745.029419,0.000000,0.000000,49.664107
medium_02,42,0,0.000000,699.483420,0.000000,0.000000,699.483420,15,1882.940,698.546082,0.000000,0.937338,46.632228
medium_02,42,1,0.000000,765.234320,0.000000,0.000000,765.234320,15,1882.940,765.339478,0.000000,0.000000,51.015621
medium_02,42,2,0.000000,744.711193,0.000000,0.000000,744.711193,15,1882.940,744.740540,0.000000,0.000000,49.647413
medium_02,42,3,0.000000,728.933036,0.000000,0.000000,728.933036,15,1882.940,728.395325,0.000000,0.537711,48.595536
medium_02,42,4,0.000000,740.945990,0.000000,0.000000,740.945990,15,1882.940,740.995117,0.000000,0.000000,49.396399
medium_02,42,5,0.000000,711.004492,0.000000,0.000000,711.004492,15,1882.940,710.529480,0.000000,0.475012,47.400299
medium_02,42,6,0.000000,707.976453,0.000000,0.000000,707.976453,15,1882.940,708.053040,0.000000,0.000000,47.198430
medium_02,42,7,0.000000,721.785335,0.000000,0.000000,721.785335,15,1882.940,721.832703,0.000000,0.000000,48.119022
medium_02,42,8,0.000000,799.484836,0.000000,0.000000,799.484836,15,1882.940,799.569336,0.000000,0.000000,53.298989
medium_02,42,9,0.000000,834.968024,0.000000,0.000000,834.968024,15,1882.940,836.033020,0.000000,0.000000,55.664535
medium_02,42,10,0.000000,710.058545,0.000000,0.000000,710.058545,15,1882.940,709.665894,0.000000,0.392651,47.337236
medium_02,42,11,0.000000,811.237839,0.000000,0.000000,811.237839,15,1882.940,811.391846,0.000000,0.000000,54.082523
medium_02,42,12,0.000000,882.759276,0.000000,0.000000,882.759276,15,1882.940,882.802551,0.000000,0.000000,58.850618
medium_02,42,13,0.000000,844.370770,0.000000,0.000000,844.370770,15,1882.940,844.472229,0.000000,0.000000,56.291385
medium_02,42,14,0.000000,803.729722,0.000000,0.000000,803.729722,15,1882.940,803.186890,0.000000,0.542832,53.581981
medium_02,42,15,0.000000,785.667225,0.000000,0.000000,785.667225,15,1882.940,785.750488,0.000000,0.000000,52.377815
medium_02,42,16,0.000000,773.622042,0.000000,0.000000,773.622042,15,1882.940,774.241089,0.000000,0.000000,51.574803
medium_02,42,17,0.000000,722.706050,0.000000,0.000000,722.706050,15,1882.940,722.782776,0.000000,0.000000,48.180403
medium_02,42,18,0.000000,768.999541,0.000000,0.000000,768.999541,15,1882.940,769.096130,0.000000,0.000000,51.266636
